feature,logloss
f1,0.19102550227664938
f2,0.19078671273225406
f3,0.19128134439414823
f4,0.19196888437329232
f5,0.19083540426735557
f6,0.19050861352471582
f7,0.19138718150368467
f8,0.19088047654477458
f9,0.19008918471064282
f10,0.1905423429391825
f11,0.18997641722934522
f12,0.19108907151680218
f13,0.19290151309657164
f14,0.192901970198585
f15,0.192901970198585
f16,0.192901970198585
f17,0.192901970198585
f18,0.19289807773007372
f19,0.192901970198585
f20,0.192901970198585
f21,0.192901970198585
f22,0.18830228175457592
f23,0.192901970198585
f24,0.192901970198585
f25,0.192901970198585
f26,0.19243796571212654
f27,0.19188160785462513
f28,0.18298121569028947
f29,0.18296339086247682
f30,0.18177666407966528
f31,0.15305091925821082
f32,0.19252189909310632
f33,0.19267910322064297
f34,0.1929022655145888
f35,0.19256225964853046
f36,0.1910207315312523
f37,0.19286285554576554
f38,0.18758165335810428
f39,0.18879761094421163
f40,0.18925324037069796
f41,0.18696189303216665
f42,0.192901970198585
f43,0.18771431736893376
f44,0.19092369009997562
f45,0.19062771915675655
f46,0.1871698602157716
f47,0.18842048142183818
f48,0.19284744221542846
f49,0.18865400781886585
f50,0.192901970198585
f51,0.18833399436733758
f52,0.192901970198585
f53,0.192901970198585
f54,0.192901970198585
f55,0.192901970198585
f56,0.192901970198585
f57,0.192901970198585
f58,0.18763225572366193
f59,0.18694134029283618
f60,0.1885205375481737
f61,0.1921582013711757
f62,0.192901970198585
f63,0.19182266031586334
f64,0.19285420334358433
f65,0.18851742487783613
f66,0.192901970198585
f67,0.18643813458958478
f68,0.18689510655528346
f69,0.1881602508612457
f70,0.1928958937771549
f71,0.19289836212476327
f72,0.1897192738231588
f73,0.18776308840443803
f74,0.1878123377049597
f75,0.19270134135960046
f76,0.1873934997106272
f77,0.18776142327565612
f78,0.188895257906782
f79,0.19188766215469244
f80,0.192901970198585
f81,0.1916607728018067
f82,0.18947702396712524
f83,0.1889519341810963
f84,0.1929020874818966
f85,0.18818194075377265
f86,0.1874967269880671
f87,0.1882826622611908
f88,0.192901970198585
f89,0.19030192671482735
f90,0.1874311473465435
f91,0.18875921505460458
f92,0.192901970198585
f93,0.1879224321337129
f94,0.17981184507350023
f95,0.17981781976882716
f96,0.1841875989459706
f97,0.18482087204098774
f98,0.18337238560495497
f99,0.18416167929786748
f100,0.18703325477819893
f101,0.1864140232342766
f102,0.192901970198585
f103,0.18337809031427396
f104,0.18585259020864447
f105,0.18040644508232395
f106,0.18447594658977817
f107,0.18636361562535264
f108,0.1755219309240357
f109,0.18608700284287755
f110,0.18936467890911116
f111,0.1886006878870838
f112,0.192901970198585
f113,0.18538349243853078
f114,0.18737441457005166
f115,0.1817260722613144
f116,0.1854243630558239
f117,0.18802704420333757
f118,0.17683358555223389
f119,0.18871981628362675
f120,0.1928937142896374
f121,0.18942960652724808
f122,0.192901970198585
f123,0.15713335115247276
f124,0.15899058247905556
f125,0.1437003185756842
f126,0.16378812095336714
f127,0.1496571507253694
f128,0.192901970198585
f129,0.192901970198585
f130,0.14582454778538598
f131,0.15001740275240413
f132,0.1388186797126468
f133,0.15272506958022805
f134,0.14245166469634435
f135,0.192901970198585
f136,0.192901970198585
f137,0.13957813364647792
f138,0.14357556302836802
f139,0.1798188860134714
f140,0.15955653770315023
f141,0.15374706788971879
f142,0.15611210761071476
f143,0.15621368841370303
f144,0.192901970198585
f145,0.192901970198585
f146,0.18360752912875009
f147,0.1539590113106436
f148,0.18126086781486841
f149,0.16201257462540625
f150,0.14540015343454513
f151,0.15324952255378782
f152,0.1913402008293817
f153,0.191066271921151
f154,0.192901970198585
