feature,logloss
f1,0.190134279634473
f2,0.1895080553219283
f3,0.1900913512889259
f4,0.19076030782597367
f5,0.1893126988556643
f6,0.1891910092698004
f7,0.19010825191825517
f8,0.18982081266091408
f9,0.18897533414937248
f10,0.18942132886677365
f11,0.1891257657397807
f12,0.189975376307513
f13,0.19170498427672036
f14,0.1917208204392333
f15,0.1917208204392333
f16,0.1917208204392333
f17,0.1917208204392333
f18,0.1917070661278886
f19,0.1917208204392333
f20,0.1917208204392333
f21,0.1917208204392333
f22,0.1865930187077966
f23,0.1917208204392333
f24,0.1917208204392333
f25,0.1917208204392333
f26,0.1913229258348238
f27,0.19073229288350751
f28,0.18166478974765368
f29,0.18086261148627056
f30,0.17975295664918636
f31,0.15183299752697915
f32,0.19132849512201017
f33,0.19160964624029173
f34,0.19171792413147198
f35,0.19134854605948
f36,0.18960053235872396
f37,0.19165835387739114
f38,0.1862326252198205
f39,0.1867754597360063
f40,0.18788955167911855
f41,0.18536296402222815
f42,0.1917208204392333
f43,0.18586892639818206
f44,0.18985627254805387
f45,0.1894347669523685
f46,0.1857014531388766
f47,0.18669478318443392
f48,0.19163909667055218
f49,0.18762855377627025
f50,0.1917208204392333
f51,0.1866242726252763
f52,0.1917208204392333
f53,0.1917208204392333
f54,0.1917208204392333
f55,0.1917208204392333
f56,0.1917208204392333
f57,0.1917208204392333
f58,0.185675087208802
f59,0.18484724529306026
f60,0.18684131896974898
f61,0.19115999745134968
f62,0.1917208204392333
f63,0.19092749683879595
f64,0.1916585731704871
f65,0.18706904998706014
f66,0.1917208204392333
f67,0.1850040948080779
f68,0.18493746793123728
f69,0.18694195019134097
f70,0.19171348134086666
f71,0.19171851267267107
f72,0.18876126654807124
f73,0.18590528665500392
f74,0.18639474014297966
f75,0.1914449037410061
f76,0.18575735462864026
f77,0.18610353670264565
f78,0.18691000087140452
f79,0.1909506318207293
f80,0.1917208204392333
f81,0.1907052518921911
f82,0.18857012239066065
f83,0.18741279861416096
f84,0.19172258118761606
f85,0.18582996309686178
f86,0.18557150446369955
f87,0.18738102516150418
f88,0.1917208204392333
f89,0.18918483066656117
f90,0.18497654919021073
