iter	Passed	Remaining
354	119727	1566578
355	120050	1566053
356	120372	1565516
357	120677	1564766
358	120986	1564063
359	121399	1564709
360	121747	1564503
361	122073	1564029
362	122379	1563293
363	122693	1562654
364	123003	1561975
365	123332	1561537
366	123637	1560802
367	123950	1560155
368	124266	1559562
369	124589	1559051
370	124902	1558421
371	125212	1557753
372	125528	1557164
373	125859	1556756
374	126178	1556205
375	126501	1555704
376	126833	1555304
377	127153	1554776
378	127480	1554323
379	127800	1553779
380	128135	1553429
381	128454	1552883
382	128767	1552275
383	129075	1551596
384	129417	1551330
385	129771	1551208
386	130098	1550766
387	130415	1550195
388	130724	1549537
389	131046	1549038
390	131436	1549331
391	131763	1548898
392	132089	1548434
393	132401	1547819
394	132713	1547209
395	133034	1546693
396	133372	1546378
397	133695	1545898
398	134008	1545299
399	134326	1544754
400	134643	1544207
401	134973	1543802
402	135298	1543343
403	135604	1542673
404	135911	1542012
405	136213	1541292
406	136597	1541504
407	136904	1540849
408	137226	1540355
409	137560	1540007
410	137877	1539465
411	138222	1539239
412	138541	1538718
413	138867	1538277
414	139178	1537666
415	139501	1537197
416	139846	1536971
417	140177	1536591
418	140482	1535921
419	140812	1535522
420	141234	1536132
421	141541	1535485
422	141862	1535002
423	142187	1534552
424	142503	1534012
425	142823	1533505
426	143150	1533088
427	143463	1532512
428	143853	1532755
429	144197	1532522
430	144516	1532009
431	144852	1531677
432	145192	1531394
433	145521	1530995
434	145834	1530427
435	146165	1530045
436	146462	1529309
437	146787	1528872
438	147195	1529290
439	147494	1528578
440	147804	1527986
441	148109	1527342
442	148428	1526836
443	148777	1526645
444	149108	1526271
445	149434	1525842
446	149769	1525508
447	150114	1525273
448	150444	1524885
449	150751	1524269
450	151089	1523965
451	151419	1523570
452	151753	1523227
453	152100	1523010
454	152419	1522520
455	152735	1521993
456	153052	1521486
457	153354	1520816
458	153669	1520290
459	153981	1519732
460	154283	1519070
461	154583	1518400
462	154900	1517891
463	155221	1517428
464	155558	1517116
465	155870	1516556
466	156187	1516052
467	156510	1515605
468	156824	1515075
469	157156	1514719
470	157468	1514172
471	157779	1513611
472	158100	1513155
473	158437	1512841
474	158760	1512398
475	159087	1512001
476	159416	1511611
477	159737	1511156
478	160087	1510970
479	160420	1510626
480	160738	1510142
481	161078	1509855
482	161398	1509389
483	161732	1509054
484	162048	1508551
485	162375	1508152
486	162694	1507675
