iter	Logloss
0	0.6534019515
1	0.6169210753
2	0.5832588637
3	0.5521403721
4	0.5241062882
5	0.4978686779
6	0.4738727689
7	0.4530483972
8	0.4332481855
9	0.4146691502
10	0.3975873719
11	0.3819635836
12	0.367471911
13	0.3544225899
14	0.3375532395
15	0.320102079
16	0.3064125395
17	0.2919428293
18	0.2797392627
19	0.269145983
20	0.2590871432
21	0.2516332904
22	0.242466269
23	0.2354880503
24	0.2291859846
25	0.2231562508
26	0.2148377861
27	0.2102643762
28	0.2058103765
29	0.2006598707
30	0.1971659808
31	0.1913099001
32	0.1860844198
33	0.1812303476
34	0.1786519992
35	0.1746545112
36	0.1708489657
37	0.1675027907
38	0.1644329425
39	0.1618162359
40	0.1590623788
41	0.1575560813
42	0.1555156186
43	0.1536129783
44	0.1515429422
45	0.1500966907
46	0.148291347
47	0.1465873893
48	0.1453743161
49	0.1440373835
50	0.1429109287
51	0.1418527273
52	0.1405692613
53	0.1395235178
54	0.1388981334
55	0.138238452
56	0.1375980349
57	0.1364372168
58	0.1357225824
59	0.1346485625
60	0.1340462101
61	0.1332113419
62	0.1323860065
63	0.1318380012
64	0.1311884963
65	0.1307341618
66	0.1302084974
67	0.1295692352
68	0.1291364938
69	0.1283884996
70	0.1277719475
71	0.1270921971
72	0.1267113794
73	0.1263218146
74	0.1258368183
75	0.1252680246
76	0.1248020085
77	0.1242712985
78	0.1238882277
79	0.1233568456
80	0.1229259312
81	0.1225861602
82	0.1220956069
83	0.1217709539
84	0.1214533912
85	0.1211528587
86	0.1206762118
87	0.1202695695
88	0.119892652
89	0.1195324712
90	0.1191260655
91	0.1188410392
92	0.118505812
93	0.1181526175
94	0.1177905056
95	0.1175113958
96	0.1172313298
97	0.1169704525
98	0.1166208457
99	0.1164039591
100	0.1162185202
101	0.1160508403
102	0.1158225466
103	0.1155196948
104	0.1152724113
105	0.1149626585
106	0.1146973792
107	0.1144493952
108	0.1142363236
109	0.113943317
110	0.1136731814
111	0.1134848741
112	0.1132954308
113	0.1129811341
114	0.112789078
115	0.1126359482
116	0.1124467132
117	0.1122902038
118	0.1121047838
119	0.111924239
120	0.1117727563
121	0.1115301682
122	0.1114169585
123	0.1113304348
124	0.1111771724
125	0.1109561111
126	0.1106739341
127	0.1104930675
128	0.1103103265
129	0.1101647225
130	0.1099724203
131	0.1098191012
132	0.1096665014
133	0.1095387418
134	0.1094061731
135	0.1092991261
136	0.1091569585
137	0.1090364975
138	0.1089211389
139	0.1087716347
140	0.108591762
141	0.1084341451
142	0.108343494
143	0.108216539
144	0.1080344891
145	0.1079307459
146	0.1077197758
147	0.1075485366
148	0.1073978585
149	0.1072696161
150	0.1071915838
151	0.1070912296
152	0.1069903643
153	0.1068394969
154	0.1066648403
155	0.1065084918
156	0.1063374419
157	0.1061895092
158	0.1060440472
159	0.105891845
160	0.1057964323
161	0.1056923957
162	0.105553333
163	0.105477781
164	0.1053743124
165	0.1052860469
166	0.1051879173
167	0.1051118068
168	0.1049787742
169	0.1048343062
170	0.1046968718
171	0.1046103482
172	0.1044374807
173	0.1043006521
174	0.1041450515
175	0.1040431448
176	0.1039743614
177	0.1038533608
178	0.1037691942
179	0.1036513933
180	0.1035478489
181	0.103471426
182	0.1032588372
183	0.1031095696
184	0.1029720405
185	0.1028736175
186	0.1027898297
187	0.1026464124
188	0.1025254497
189	0.1024184216
190	0.1022515748
191	0.1021778593
192	0.102056073
193	0.1019111033
194	0.1018034978
195	0.1016856874
196	0.1016475374
197	0.1015273888
198	0.1014317679
199	0.1012836268
200	0.101147016
201	0.1010643736
202	0.1009937347
203	0.1009080062
204	0.100791985
205	0.1006481512
206	0.1005104518
207	0.100418873
208	0.1003135489
209	0.1002049967
210	0.1000688403
211	0.09993851519
212	0.09982718933
213	0.09971130063
214	0.09964053867
215	0.09954159497
216	0.09947989243
217	0.0994001373
218	0.0993433668
219	0.09929575985
220	0.09922694798
221	0.09907441452
222	0.09893560746
223	0.09883968358
224	0.09872984396
225	0.09868110104
226	0.09864316883
227	0.09853886711
228	0.09848635652
229	0.09834816479
230	0.09824006701
231	0.09815310788
232	0.09801564507
233	0.09795984961
234	0.09790549306
235	0.09776864557
236	0.09768975189
237	0.09762827654
238	0.09757923069
239	0.09753506007
240	0.09744927479
241	0.09733322516
242	0.09722598883
243	0.09712476372
244	0.09702812038
245	0.09692783245
246	0.09689429269
247	0.09681385598
248	0.09677181532
249	0.09672366879
250	0.09660524307
251	0.09657374808
252	0.09647691541
253	0.09641396329
254	0.09637082452
255	0.09633449216
256	0.09623298305
257	0.09613539306
258	0.09606556828
259	0.09602082021
260	0.0959745859
261	0.09593541359
262	0.09587321879
263	0.09577374497
264	0.09570708199
265	0.09559830262
266	0.09553847444
267	0.09546324429
268	0.09532859302
269	0.09523368205
270	0.09518323516
271	0.09514228315
272	0.09509804627
273	0.09504901935
274	0.09502430236
275	0.094980766
276	0.09493477782
277	0.09479454132
278	0.09476996633
279	0.09468257175
280	0.09462073667
281	0.09451741947
282	0.09444494406
283	0.09439619167
284	0.09434281017
285	0.09428670232
286	0.09422190423
287	0.09416885406
288	0.0941197514
289	0.09408089149
290	0.09397752695
291	0.09392361532
292	0.09384828104
293	0.09378195885
294	0.09369871059
295	0.09362468268
296	0.0935824527
297	0.0935408191
298	0.09348832745
299	0.09346545642
300	0.09341022895
301	0.09334552553
302	0.09331306496
303	0.09320455065
304	0.09316939213
305	0.09313936444
306	0.09306949232
307	0.09302395854
308	0.09294338929
309	0.09291476264
310	0.09280951427
311	0.09276921545
312	0.0927113847
313	0.09260820949
314	0.09249860653
315	0.09246392134
316	0.09241151488
317	0.09238392955
318	0.09231175707
319	0.09228298843
320	0.09225083078
321	0.09215846629
322	0.09210808566
323	0.09206114137
324	0.09195189814
325	0.09190954509
326	0.09184297678
327	0.09180578296
328	0.09177185508
329	0.09176413043
330	0.09173880759
331	0.0916328587
332	0.09155655883
333	0.09145277777
334	0.09141809257
335	0.09139391517
336	0.09137948825
337	0.09129158248
338	0.09122579988
339	0.09117910171
340	0.09110658845
341	0.09107711928
342	0.0910312731
343	0.09099794161
344	0.09096768672
345	0.09092220027
346	0.09085626621
347	0.09077826238
348	0.09074442916
349	0.09072994544
350	0.09065171442
351	0.09057113571
352	0.09052130413
353	0.09050001401
354	0.09044830807
355	0.09039233275
356	0.09035162687
357	0.09032833932
358	0.0903088857
359	0.0902604741
360	0.09018464756
361	0.09010204302
362	0.09002880083
363	0.08998372143
364	0.08997253205
365	0.08989480275
366	0.08987952384
367	0.0898453025
368	0.08981973353
369	0.0897553425
370	0.08972173649
371	0.08970590852
372	0.08964699859
373	0.08959755515
374	0.08953701698
375	0.08948898404
376	0.08941786235
377	0.08937032166
378	0.08929166465
379	0.08926627554
380	0.08919931909
381	0.08918222262
382	0.08915352971
383	0.08913645217
384	0.08907109557
385	0.0889865788
386	0.08893774121
387	0.08890416359
388	0.08887861355
389	0.08885330963
390	0.08881461065
391	0.08876161727
392	0.08871623494
393	0.08869224687
394	0.08865934138
395	0.0886323335
396	0.0885716912
397	0.08852116857
398	0.08850389224
399	0.08847188606
400	0.0884402112
401	0.08837667216
402	0.08832519342
403	0.08830606165
404	0.08827538078
405	0.08825929722
406	0.0882516483
407	0.08822642012
408	0.08814869082
409	0.0880943248
410	0.08800646637
411	0.08793242899
412	0.08789173258
413	0.0878231763
414	0.08780329668
415	0.08776251507
416	0.08765967119
417	0.08763079841
418	0.08760820191
419	0.08755537893
420	0.08747409023
421	0.0874444696
422	0.08741720613
423	0.0873635217
424	0.08733405253
425	0.08731453264
426	0.08724710288
427	0.08721187809
428	0.0871955484
429	0.08711598261
430	0.08709458835
431	0.08698463514
432	0.08693132937
433	0.08689078442
434	0.08687861998
435	0.08684191842
436	0.08683511202
437	0.08678473139
438	0.08671650644
439	0.08669263197
440	0.08666329534
441	0.08664138043
442	0.08660198092
443	0.08652806661
444	0.08649444166
445	0.08643414016
446	0.08637810804
447	0.08632267231
448	0.08629058092
449	0.08626273053
450	0.08620849704
451	0.08618126197
452	0.08611997595
453	0.08604023029
454	0.08601584462
455	0.0859996664
456	0.08596913699
457	0.08596528413
458	0.08594312309
459	0.0859269638
460	0.08591237595
461	0.08590202908
462	0.08587774755
463	0.08585379735
464	0.08582914662
